timestamp,ground_truth,sensor_temp,sensor_baseline,sensor_humidity,sensor_aux
222,26.1606,34.1708,26.4458,26.5327,25.7744
223,26.1061,33.3467,26.2923,26.0155,26.7578
224,26.053,33.7278,25.9696,25.7283,25.8203
225,26.0013,34.2574,25.9429,26.6619,25.5317
226,25.9511,33.8836,25.9708,26.6609,25.8719
227,25.9024,33.4702,25.8363,25.6022,26.7296
228,25.8553,33.585,26.2891,24.9221,25.1227
229,25.8098,34.0627,26.8046,26.3136,25.3893
230,25.7659,33.5603,25.515,25.4236,26.3649
231,25.7236,33.8844,25.1072,26.1189,26.4667
232,25.683,33.819,25.6433,24.698,25.6416
233,25.644,33.571,26.8049,26.0903,25.1484
234,25.6068,34.5472,25.2451,25.0012,26.4451
235,25.5712,34.0181,26.3088,25.9366,26.209
236,25.5373,33.0885,26.2923,25.5444,25.8089
237,25.5051,33.8654,25.256,25.0282,25.1802
238,25.4747,33.573,25.7307,25.2711,25.455
239,25.4459,34.1092,26.1787,25.7891,25.3817
240,25.4188,33.5414,25.2482,25.4718,25.5512
241,25.3935,33.7883,25.3018,25.6857,25.9739
242,25.3698,34.0165,25.108,26.358,25.7215
243,25.3477,34.1558,24.8911,24.5656,24.9168
244,25.3274,33.4473,25.0352,26.136,25.878
245,25.3086,33.7666,24.7579,25.3608,25.4339
246,25.2915,33.7353,25.3068,24.8421,25.5663
247,25.276,33.6923,24.9295,24.6108,25.8626
248,25.262,34.5599,25.3672,25.1674,24.8174
249,25.2495,34.1063,24.5494,25.7104,25.2352
250,25.2386,33.5473,25.3875,25.1748,25.026
251,25.2291,34.3353,25.6041,25.9846,24.6019
252,25.221,34.7837,24.3238,24.4954,25.3596
253,25.2143,34.4306,25.3826,25.2082,26.2189
254,25.2089,33.5671,25.7613,24.5827,24.4728
255,25.2048,33.9603,24.6604,25.3866,25.1919
256,25.2019,34.6054,25.9546,25.6454,25.4582
257,25.2003,33.9476,25.3888,24.9899,25.2495
258,25.1998,34.3851,24.8825,23.8976,25.1545
259,25.2003,34.5364,25.1752,25.2998,24.6806
260,25.2019,33.9775,25.4531,25.4203,25.295
261,25.2045,34.3186,25.2387,25.4066,24.9017
262,25.2079,33.2435,25.4504,25.8258,24.332
263,25.2122,34.0587,24.7979,24.6767,25.6901
264,25.2173,34.3689,25.2935,25.5574,25.6007
265,25.2232,34.0614,24.587,25.8194,25.2438
266,25.2296,35.111,25.1796,24.3403,25.3213
267,25.2367,34.0811,24.8299,25.3965,25.6664
268,25.2443,34.4703,24.9133,24.9922,25.334
269,25.2523,34.7131,25.8085,25.2115,25.6139
270,25.2607,35.2152,25.7518,25.4346,25.1417
271,25.2695,34.2519,25.5436,25.0258,25.7942
272,25.2784,35.2055,24.7869,24.9406,25.4067
273,25.2876,34.8461,25.1452,25.3046,25.3652
274,25.2968,34.5433,25.8427,24.7532,24.7888
275,25.3061,35.0928,25.3698,24.7632,25.4209
276,25.3153,35.045,26.359,25.655,24.9825
277,25.3244,34.8093,25.5014,24.75,25.0691
278,25.3333,35.0877,25.4197,25.6665,25.0072
279,25.342,34.9721,25.2029,25.5733,24.9155
280,25.3503,35.19,25.4104,24.4874,26.2002
281,25.3582,35.4249,25.2896,25.0194,25.8907
282,25.3656,35.7907,25.6843,25.9627,26.1338
283,25.3725,34.8443,25.8031,24.882,24.8834
284,25.3788,36.0654,25.0251,25.1466,25.4073
285,25.3844,34.6762,24.7854,25.6155,24.867
286,25.3893,35.3462,24.563,25.781,25.111
287,25.3934,35.6443,25.622,25.2676,25.0261
288,25.3965,35.5749,24.9,25.0978,25.8924
289,25.3988,35.2959,24.43,26.11,25.2403
290,25.4,35.4772,25.5749,26.2695,25.8274
291,25.4002,35.4127,26.5221,25.8897,25.6419
292,25.3993,35.413,25.3966,25.442,26.3208
293,25.3972,35.9496,25.7746,24.9931,24.8055
294,25.3939,35.8089,25.4308,24.9787,25.8976
295,25.3893,35.4718,25.3448,25.6506,25.8479
296,25.3834,36.0583,25.797,25.5926,24.9941
297,25.3762,35.8787,25.2455,26.077,25.779
298,25.3675,36.082,25.4878,25.6927,25.5019
299,25.3573,36.0427,25.5021,24.6058,25.2663
300,25.3456,35.5555,25.045,25.8716,24.0841
301,25.3324,35.6714,25.7789,24.8334,22.0404
302,25.3177,36.1492,25.2389,25.1257,23.9945
303,25.3013,36.1199,24.9612,25.4264,26.8491
304,25.2833,35.916,25.5247,26.2811,22.7199
305,25.2636,35.9797,24.8593,26.8186,21.4319
306,25.2423,36.3994,25.2549,25.5456,23.5443
307,25.2192,35.7571,25.2151,25.1276,27.2623
308,25.1944,36.1659,25.6831,25.4617,24.2213
309,25.1679,35.9121,25.3815,25.6117,23.9797
310,25.1396,35.9134,25.1283,24.9792,25.2508
311,25.1095,36.3791,25.4775,26.0071,21.3135
312,25.0777,36.2866,25.7033,25.1927,26.0944
313,25.0441,36.2838,25.2951,25.293,26.046
314,25.0087,36.4556,25.0134,25.3417,24.3854
315,24.9716,36.0039,24.3813,25.1824,27.4785
316,24.9327,36.2313,24.4534,25.3521,22.0579
317,24.892,35.8784,24.7546,24.5834,27.2597
318,24.8496,36.093,24.5753,24.5704,25.6674
319,24.8054,35.9249,24.7213,24.2553,24.4229
320,24.7596,35.9935,24.785,24.9793,24.1667
321,24.712,36.1553,24.9504,25.1015,24.6166
322,24.6628,35.6464,24.631,24.8917,26.5561
323,24.6119,36.6492,24.8308,25.4491,22.262
324,24.5594,35.5473,24.5884,24.5566,23.641
325,24.5053,35.4554,23.6164,24.8397,26.406
326,24.4497,36.2651,24.027,23.9039,22.8058
327,24.3926,36.1147,24.3278,24.199,26.6794
328,24.334,36.0324,23.7896,24.6818,27.4556
329,24.274,36.0089,24.544,24.6985,23.1369
330,24.2126,35.7583,24.9014,24.0656,25.9502
331,24.1499,35.4208,24.6983,24.1141,21.358
332,24.0859,35.7324,23.9898,23.3269,25.6519
333,24.0206,35.4386,24.6915,23.8421,24.757
334,23.9542,35.9855,24.0211,24.3994,25.1635
335,23.8867,35.5602,23.735,24.1743,22.5732
336,23.8181,35.2892,23.5421,24.0685,20.0281
337,23.7486,35.4311,23.6125,23.7735,25.0038
338,23.6781,35.6526,23.5034,23.6816,19.0891
339,23.6067,35.2744,23.6834,23.2766,23.0917
340,23.5346,35.1468,23.6068,23.884,25.4064
341,23.4617,35.482,23.4631,23.6722,23.8109
342,23.3882,35.4439,23.5848,23.6342,27.2786
343,23.3141,35.1416,23.8499,23.0511,25.5553
344,23.2395,35.1146,23.6668,22.1628,21.4765
345,23.1644,35.3206,22.4962,23.713,22.7789
346,23.089,34.6922,21.9397,22.8496,23.0882
347,23.0133,34.6657,23.4337,22.5819,19.6176
348,22.9374,34.8659,22.3223,23.2841,21.1817
349,22.8614,35.0017,22.7602,22.6654,21.4552
350,22.7853,35.1441,22.2587,23.3153,18.4688
351,22.7092,35.5106,21.8983,23.0177,23.034
352,22.6333,35.2535,22.877,22.9751,22.2633
353,22.5576,34.8566,22.8992,21.8746,18.5469
354,22.4821,34.8654,22.2227,23.0881,23.4311
355,22.407,34.4811,21.241,22.5376,24.1275
356,22.3323,34.7858,22.0865,22.1476,22.8346
357,22.2581,34.6521,22.4344,22.3298,20.7105
358,22.1845,34.8275,21.519,21.2964,23.5499
359,22.1116,34.3871,22.1941,22.3159,24.4931
360,22.0394,34.8212,22.0325,21.5247,22.5717
361,21.9681,35.1395,22.2287,21.2917,19.8627
362,21.8976,34.5296,21.9514,21.1364,22.6555
363,21.8282,34.6738,21.3903,22.3845,24.5832
364,21.7597,34.7413,22.2982,21.4451,20.9243
365,21.6925,34.327,21.6211,22.4593,25.8048
366,21.6264,34.5148,21.6141,21.3585,20.7625
367,21.5616,34.411,21.1416,20.7079,21.869
368,21.4981,34.4123,21.2986,20.9398,19.9618
369,21.436,34.0805,21.0379,22.0539,22.0627
370,21.3754,34.334,21.2976,21.2975,17.9543
371,21.3164,34.4757,22.0866,21.0422,20.464
372,21.2589,34.7868,20.6416,21.3389,18.399
373,21.2031,34.5939,20.477,21.454,21.8289
374,21.149,34.9927,21.8111,21.7077,23.311
375,21.0967,33.9532,21.0025,21.821,22.5471
376,21.0463,34.5116,20.7452,20.8664,15.8579
377,20.9977,34.2568,21.4656,20.3346,25.4301
378,20.951,34.9474,20.6785,20.7443,22.0773
379,20.9063,33.8884,21.728,21.0364,19.1645
380,20.8636,33.8697,21.1687,20.3817,20.7615
381,20.823,33.9482,20.6034,20.3444,21.0532
382,20.7845,33.4111,21.7553,20.9564,19.3889
383,20.7481,33.9691,20.4755,20.7238,21.6752
384,20.7139,33.8882,21.0478,20.7303,19.6187
385,20.6818,34.2095,20.8165,20.3026,19.452
386,20.652,34.2816,21.2378,20.5368,20.1363
387,20.6245,34.8261,21.3271,20.1623,17.5785
388,20.5992,34.5118,20.6136,21.0443,21.4302
389,20.5762,33.9892,20.2371,21.0938,21.8031
390,20.5554,33.891,20.7624,19.6323,21.9015
391,20.537,34.3942,20.2321,20.0723,22.6767
392,20.5209,33.7789,21.427,19.7727,21.7218
393,20.5072,34.9032,20.5686,20.1822,19.7581
394,20.4957,34.6985,20.3313,20.454,22.6919
395,20.4866,34.1474,20.5697,19.7618,17.3741
396,20.4798,33.7402,19.8736,20.0189,18.2697
397,20.4754,34.8442,20.0381,19.9734,18.4872
398,20.4732,34.3631,21.0134,20.5768,23.2226
399,20.4733,34.8715,20.1777,20.508,22.4584
400,20.4757,33.9176,20.0046,20.1148,21.9738
401,20.4803,34.3056,20.7218,20.5688,23.4196
402,20.4872,34.5591,21.0208,20.2139,18.1863
403,20.4963,34.6178,20.8198,20.3605,20.9285
404,20.5076,34.4901,20.9558,21.3443,20.176
405,20.521,34.914,20.1804,21.1912,22.5072
406,20.5365,34.3729,19.8967,19.8867,20.0732
407,20.5541,34.7493,21.2297,20.969,20.2481
408,20.5738,34.8959,20.4286,20.9795,21.9334
409,20.5954,35.0905,20.4825,20.0213,22.5388
410,20.619,35.2181,21.2167,21.0284,18.5743
411,20.6445,34.6359,20.8948,21.4135,19.9838
412,20.6719,34.5549,20.877,20.1106,18.4557
413,20.701,35.6032,21.6753,20.2423,14.3523
414,20.7319,35.3382,20.4424,21.2408,21.578
415,20.7645,35.0276,21.1821,20.9003,22.0409
416,20.7988,35.9017,20.8244,21.0745,22.6726
417,20.8346,35.4701,20.9555,21.0049,17.4687
418,20.8719,35.9147,21.5597,21.0673,20.0275
419,20.9107,35.5993,21.1392,20.2475,15.9878
420,20.9508,36.3721,21.1931,21.4745,24.3624
421,20.9923,36.3417,21.4749,21.5771,19.2843
422,21.035,35.7179,20.8708,20.9203,23.1417
423,21.0789,36.224,20.7013,21.0572,22.4453
424,21.1239,36.1898,20.6538,20.3584,18.8938
425,21.17,36.524,20.2851,21.4271,18.9109
426,21.217,35.7892,22.1423,21.503,22.1865
427,21.2649,36.45,20.7684,21.2338,19.8352
428,21.3135,36.664,21.214,21.8757,21.0591
429,21.363,35.7624,21.2384,21.1959,19.3743
430,21.4131,36.0489,21.5514,21.6954,17.8377
431,21.4637,35.835,21.8308,20.9539,16.2254
432,21.5149,36.5406,21.9021,21.5031,21.2062
433,21.5665,36.9727,21.3041,21.4793,20.3891
434,21.6185,37.3343,21.5433,21.7311,20.7189
435,21.6707,36.9216,21.7979,21.4859,23.1528
436,21.7231,37.5531,21.6112,21.6574,24.1216
437,21.7757,36.5876,22.499,22.1887,21.1123
438,21.8283,36.5621,22.0492,21.6099,20.9307
439,21.8808,37.2264,22.2115,21.0775,22.4419
440,21.9333,37.4677,22.2316,22.8081,18.6621
441,21.9855,37.4091,22.5136,22.6763,22.685
442,22.0376,36.7839,22.119,21.3914,23.3804
443,22.0892,37.5631,21.5057,22.4341,23.653
444,22.1405,37.224,22.3204,21.889,17.4816
445,22.1914,38.0007,21.8983,22.3231,20.4438
446,22.2417,37.98,22.0038,22.3888,19.4386
447,22.2913,37.6074,22.5552,22.1741,22.5825
448,22.3404,37.8405,22.8976,21.9485,23.9695
449,22.3886,37.7329,22.3982,22.0434,25.0918
450,22.4361,38.1642,22.5751,21.978,21.1128
451,22.4828,38.6021,23.2488,22.0669,22.6144
452,22.5285,38.0035,22.6369,22.4949,23.0297
453,22.5733,38.6047,23.744,22.2154,22.394
454,22.617,38.3214,22.8715,22.9581,22.3401
455,22.6597,38.3072,21.8674,23.4033,21.8721
456,22.7012,38.6238,23.0402,22.4112,22.7426
457,22.7416,38.3743,22.9131,22.8613,23.5585
458,22.7808,38.617,23.3612,23.0306,22.8917
459,22.8187,38.4644,23.1216,23.0547,22.8098
460,22.8553,39.643,22.793,22.8933,22.9841
461,22.8906,39.0379,22.3397,23.2619,22.8862
462,22.9245,38.8496,22.8305,23.1656,22.5993
463,22.957,39.2369,22.5743,22.3382,23.2864
464,22.9882,39.1888,22.7269,23.4227,23.0785
465,23.0178,39.2155,23.2827,23.4614,23.0248
466,23.046,39.5709,23.7974,22.6643,22.6558
467,23.0727,39.6828,23.2503,23.0916,23.5941
468,23.0979,39.2922,22.5597,23.4395,23.3637
469,23.1215,39.335,23.3216,23.0169,22.9003
470,23.1436,39.4974,23.6821,23.6801,23.5444
471,23.1642,38.8435,22.8898,24.3462,22.9652
472,23.1833,39.1729,23.123,22.7903,22.8705
473,23.2008,40.2342,23.2074,22.5102,22.8969
474,23.2167,40.3824,22.8635,23.3686,22.5083
475,23.2311,39.769,23.5228,23.5919,23.4197
476,23.244,40.1058,23.1896,23.1286,22.5115
477,23.2553,40.0593,23.4441,23.982,22.764
478,23.2652,41.0728,22.8658,22.5959,22.4349
479,23.2735,40.4304,23.0767,23.62,23.2391
480,23.2804,40.0356,23.6055,22.9775,23.2203
481,23.2858,39.7864,23.1181,24.1455,23.1552
482,23.2898,39.5976,24.067,24.2861,22.8728
483,23.2924,40.2686,23.1126,22.9091,22.8235
484,23.2937,39.9689,23.3948,23.0189,23.4794
485,23.2936,39.7708,23.7132,23.7234,23.0733
486,23.2922,40.0759,22.6539,23.0986,23.4187
487,23.2895,39.956,22.4971,23.2668,22.9354
488,23.2856,40.9561,22.5991,23.2983,23.358
489,23.2805,40.7041,23.8487,22.3207,23.8019
490,23.2744,40.4216,23.026,23.2674,23.5088
491,23.2671,40.9701,24.4183,22.9222,23.1021
492,23.2588,40.5059,23.0049,23.0122,23.3617
493,23.2495,40.203,23.3325,23.9713,23.1532
494,23.2393,41.0624,23.9332,22.611,23.2424
495,23.2282,40.7418,24.1309,23.6348,23.098
496,23.2163,40.2133,24.144,23.0768,23.1506
497,23.2037,40.532,23.7474,23.0638,23.2885
498,23.1903,40.3139,23.6512,23.5855,22.793
499,23.1764,40.1574,23.443,23.3464,22.77
500,23.1618,40.986,23.5121,23.4471,22.6064
501,23.1468,41.3501,22.8988,23.6309,22.5067
502,23.1314,40.2119,22.7632,22.9657,22.6445
503,23.1156,40.9176,23.1141,22.8095,23.1794
504,23.0995,40.5117,23.0229,22.5569,22.7424
505,23.0832,40.5877,22.8792,22.6704,23.2886
506,23.0667,40.5693,23.3801,24.5412,23.0806
507,23.0501,40.4927,23.48,23.6725,22.2627
508,23.0336,40.8306,23.0734,22.358,23.2956
509,23.0171,40.5412,23.682,22.3559,23.3414
510,23.0007,40.9454,22.487,23.2417,22.6032
511,22.9846,40.852,22.8974,23.2582,23.1527
512,22.9687,40.8051,22.6462,23.2432,22.6261
513,22.9532,40.5906,22.1133,22.8257,22.9923
514,22.9381,40.7263,22.9009,22.8754,22.4323
515,22.9236,41.213,22.8688,23.0875,22.2063
516,22.9096,41.1449,23.5906,22.9525,22.7564
517,22.8962,40.6491,23.1801,21.7866,22.8467
518,22.8836,41.0483,22.4227,22.7687,22.7245
519,22.8717,41.2997,23.7061,22.446,22.3981
520,22.8607,40.4764,23.4102,22.9483,22.7008
521,22.8506,41.2758,23.1126,24.3433,22.9583
522,22.8415,40.8796,22.7396,23.0253,22.8236
523,22.8335,41.3382,22.4017,22.6767,22.9065
524,22.8266,40.8994,22.6591,23.2875,22.5585
